    0.514591871819144384E-01   -0.860953463778416972E+00    0.151103962065654514E+04   -0.402866509608993972E+01   -0.648660895564048445E+02
    0.511239154854998337E-01   -0.973018841970489934E+00    0.218126842823964353E+04   -0.300704432657129228E+01   -0.644880523246024495E+02
    0.478169655425309259E-01   -0.972858965157857858E+00    0.236691610240520140E+04   -0.473993526381436237E+01   -0.636576586534668039E+02
    0.514614386306321489E-01   -0.863353686609459547E+00    0.147692402302695768E+04   -0.397565396910048330E+01   -0.634796383275012914E+02
    0.468618660648294910E-01   -0.101467911085873830E+01    0.259534259451057778E+04   -0.439562048039126463E+01   -0.634581878654899043E+02
    0.480070766601907242E-01   -0.105541191524307099E+01    0.191109353076587468E+04   -0.199082401509379014E+01   -0.634349237308784382E+02
    0.521013248872319382E-01   -0.948020095997675005E+00    0.178478128584930914E+04   -0.206324843030421423E+01   -0.630965010202829433E+02
    0.528136318307077940E-01   -0.885517162796213175E+00    0.148846862741874452E+04   -0.263051401552143593E+01   -0.630647826402154124E+02
    0.541619129946610475E-01   -0.900467725137825248E+00    0.101453373573575300E+04   -0.166902055784165038E+01   -0.629661785461120189E+02
    0.502099275537120152E-01   -0.946754196932860226E+00    0.122909329849281721E+04   -0.250755721849521729E+01   -0.626911463584394681E+02
    0.546927337353982843E-01   -0.875212319174714870E+00    0.122678203291006139E+04   -0.304782347291432121E+01   -0.626885930730345393E+02
    0.527181232917744713E-01   -0.921874803225042450E+00    0.163920428820430379E+04   -0.247023715181351777E+01   -0.622992606721571178E+02
    0.473645383975191056E-01   -0.105734869054148972E+01    0.256852326080313469E+04   -0.267016438240765774E+01   -0.621249325159925974E+02
    0.522073739514285762E-01   -0.852707971895614869E+00    0.123807392873900608E+04   -0.401875201512172531E+01   -0.621219262034306539E+02
    0.521635193529960337E-01   -0.103530129320453845E+01    0.152211251883838099E+04   -0.212671248277545777E+01   -0.620690124318990613E+02
    0.465779217771047777E-01   -0.990789417589608146E+00    0.191435253779418122E+04   -0.494526869286469939E+01   -0.619853036854677981E+02
    0.544642423753500249E-01   -0.903378097581539752E+00    0.112427055680608510E+04   -0.451432269725116075E+01   -0.619070343725279457E+02
    0.487155033657482583E-01   -0.107683966640571760E+01    0.249055010228584297E+04   -0.347203316739305912E+01   -0.618965625362295100E+02
    0.488929910657246170E-01   -0.104066790496409878E+01    0.259983195078314247E+04   -0.249028397590690265E+01   -0.618873254948653369E+02
    0.505701054389675400E-01   -0.106905344467254881E+01    0.187037136049679748E+04   -0.433914996761800431E+01   -0.618501638492159671E+02
    0.473417555939348034E-01   -0.102103333278769881E+01    0.180983132111401005E+04   -0.355467624746087552E+01   -0.618160704584606080E+02
    0.476689931920262697E-01   -0.106156965310950158E+01    0.254972838789842945E+04   -0.342987591237195133E+01   -0.617206131536599472E+02
    0.500733242090112621E-01   -0.107070616670313323E+01    0.192010545321295876E+04   -0.456972199451884098E+01   -0.616326864049732137E+02
    0.508210247106539795E-01   -0.939317492072998861E+00    0.137503810945047417E+04   -0.169976866175405128E+01   -0.616237564695081872E+02
    0.473152322275998752E-01   -0.948205558936238257E+00    0.199505330137103874E+04   -0.332370152033539057E+01   -0.616053077767511112E+02
    0.497150977651136458E-01   -0.985208332801594588E+00    0.227641292690191858E+04   -0.343520167582667924E+01   -0.615700739325972037E+02
    0.520076223168461568E-01   -0.104368719304392732E+01    0.203863648511524343E+04   -0.480949317562645984E+01   -0.615067939182785750E+02
    0.505571235205473715E-01   -0.935057386390433010E+00    0.123767794049339955E+04   -0.324985013387983379E+01   -0.615063798184430510E+02
