    0.184842269851711535E+04    0.926970156708440481E+04    0.577232264254144756E+01    0.577669173734434007E+05    0.103393020703925687E+01    0.107601836476813206E+01    0.623410645224771742E+00    0.101389436133635957E+01    0.120282411170681325E+01    0.128946954240221379E+01   -0.437032342629632512E+04
    0.214606369306811121E+04    0.982904029662042012E+04    0.572907449392722512E+01    0.773805543766590126E+05    0.111187397727615389E+01    0.118696283281239179E+01    0.617472305580427316E+00    0.974009679778828463E+00    0.130356837862222741E+01    0.123390269815337206E+01   -0.436919823254747280E+04
    0.190254204291938731E+04    0.921903221041032339E+04    0.528148433635967329E+01    0.685377280442793417E+05    0.123954981715024681E+01    0.113861785822809769E+01    0.631407764516015324E+00    0.110905304791873238E+01    0.134769146785603056E+01    0.127289124157012767E+01   -0.436888980472967796E+04
    0.207431864258337373E+04    0.662732082429921229E+04    0.417616680375326688E+01    0.109672803261999637E+06    0.115270010715601723E+01    0.116444606345597745E+01    0.607095463709713234E+00    0.964305077357394236E+00    0.136911524375407456E+01    0.122263258943053743E+01   -0.436877522651347317E+04
    0.191993895050146853E+04    0.585596823689095163E+04    0.456849508369957569E+01    0.127961523309647062E+06    0.117135295624976310E+01    0.118589768089113146E+01    0.622364043504441189E+00    0.100324074940242491E+01    0.130784706168910581E+01    0.122084784807119684E+01   -0.436840388699455707E+04
    0.200119397676969743E+04    0.786457239799579111E+04    0.452453251904089626E+01    0.800917601920652960E+05    0.114394936018884863E+01    0.108699558205645896E+01    0.605972337104501380E+00    0.101076410842452447E+01    0.124433334360424341E+01    0.129361084294667150E+01   -0.436830610055413672E+04
    0.193071369546972619E+04    0.603120827225213361E+04    0.426956562943527640E+01    0.106473694837126037E+06    0.114476462256391143E+01    0.108758731791337082E+01    0.615343004268695926E+00    0.106819592227920590E+01    0.129674356527265600E+01    0.120142291777111554E+01   -0.436825235932565920E+04
    0.198605243329177824E+04    0.916003248247721058E+04    0.407690228311274705E+01    0.626051004428431916E+05    0.114469862663648758E+01    0.115650455785476369E+01    0.613645178747733167E+00    0.104640320031305567E+01    0.133402407725858563E+01    0.125977930422700579E+01   -0.436820507710799848E+04
    0.204751110704292728E+04    0.894138869738231915E+04    0.472967323014102448E+01    0.677454834085144539E+05    0.106450676725479187E+01    0.108579240434764279E+01    0.604935516416919006E+00    0.102865217084021277E+01    0.110203343485595173E+01    0.119688340070423482E+01   -0.436805626175998259E+04
    0.199924574083014204E+04    0.622252872304474931E+04    0.397514232409549306E+01    0.987476389276885311E+05    0.110752117932182137E+01    0.108410932486284994E+01    0.604073614276100845E+00    0.101256248674277027E+01    0.138973766196541515E+01    0.124449250263634026E+01   -0.436779475339886267E+04
